dest	src	nlq	lq	cost
78.41.112.189	193.238.156.4	1.000	1.000	1.000
78.41.112.236	193.238.156.4	1.000	1.000	1.000
193.238.156.61	193.238.156.6	0.686	0.933	1.561
193.238.158.244	193.238.156.6	0.983	0.388	2.616
78.41.113.214	193.238.156.9	1.000	1.000	1.000
78.41.112.143	193.238.156.10	1.000	1.000	1.000
78.41.113.99	193.238.156.10	1.000	1.000	1.000
78.41.113.244	193.238.156.10	1.000	1.000	1.000
193.238.156.11	193.238.156.10	1.000	1.000	1.000
193.238.156.75	193.238.156.10	1.000	1.000	1.000
193.238.156.226	193.238.156.10	0.423	0.901	2.617
193.238.158.118	193.238.156.10	1.000	1.000	1.000
193.238.159.17	193.238.156.10	0.858	1.000	1.164
193.238.159.180	193.238.156.10	0.897	1.000	1.113
193.238.156.10	193.238.156.11	1.000	1.000	1.000
193.238.156.97	193.238.156.11	0.921	0.761	1.426
193.238.158.118	193.238.156.11	1.000	1.000	1.000
193.238.159.40	193.238.156.11	0.156	0.921	6.917
193.238.159.25	193.238.156.13	1.000	1.000	1.000
193.238.158.148	193.238.156.14	0.925	1.000	1.080
78.41.113.23	193.238.156.19	0.329	1.000	3.035
193.238.156.39	193.238.156.19	1.000	1.000	1.000
193.238.159.121	193.238.156.19	1.000	1.000	1.000
193.238.159.150	193.238.156.19	0.882	0.983	1.151
